Numberoftransactions,Sourcepartner,Datafeild
6,Ingram FPP (US),05-01-2016
8,Apple,04-01-2016
19,Tech Data (Canada),07-01-2016
3681,Walmart,08-01-2016
10,Insight Technology Solutions GmbH,12-01-2016
2,Ingram (Sweden),01-01-2016
6,Computacenter FR,13-01-2016
26,Tech Data (Alt 1),16-01-2016
4,BOLNL,04-01-2016
5,LITEON,28-01-2016
4,Carrefour (Spain),26-01-2016
2,"Flextronics, Manaus",17-01-2016
16,Insight Australia,07-01-2016
42,G2B_Office Centre,06-01-2016
20,LITEON,14-01-2016
1,Leclerc,21-01-2016
61,Softcat Ltd,07-01-2016
1,Ingram (France) (Alt 2),23-01-2016
4,Compaq (Alt1),19-01-2016
7,Gamestop EDI,13-01-2016
2,Ingram (Switzerland),01-01-2016
4,LITEON,20-01-2016
2,ElCorteIngles (Spain),01-01-2016
104,MediaMarket EMEA,09-01-2016
3,Ceva Singapore,31-01-2016
24,ARGOS UK,25-01-2016
36,MicroWarehouse Limited,13-01-2016
2,Tech Data (Switzerland),27-01-2016
28,GTI (Spain),13-01-2016
431,NETWORLD,26-01-2016
54,Ingram (Netherlands),11-01-2016
24,SIRAS Redmond,15-01-2016
394,AMAZON,07-01-2016
2,D&H Distributing Canada,02-01-2016
14,Tech Data (France),14-01-2016
2,LITEON,12-01-2016
32,AMAZON,30-01-2016
2,"DHL, China",15-01-2016
5,LITEON,21-01-2016
16,Frys,26-01-2016
186,Softcat Ltd,14-01-2016
304,n/a,06-01-2016
8,D&H Distributors (XBOX),04-01-2016
22,Incomm,02-01-2016
543,Walmart,20-01-2016
63,Soft Choice,30-01-2016
2,Sarcom,29-01-2016
63,Tech Data (Canada) (Alt 2),07-01-2016
16,SIRAS Redmond,13-01-2016
73,Soft Choice,16-01-2016
9,Office Depot,30-01-2016
354,Soft Choice,26-01-2016
5,Tech Pacific New Zealand,06-01-2016
2,Insight Technology Solutions GmbH,10-01-2016
2,G2B_Apple,15-01-2016
1,Dixons (UK),23-01-2016
193,Soft Choice,19-01-2016
16,Tech Data (Denmark),04-01-2016
4,Tech Data (Canada),23-01-2016
13,Techpac_Singapore,28-01-2016
3,FOXLINK,15-01-2016
7,G2B_Apple,05-01-2016
2,Docuprint Miami,28-01-2016
1,Tech Data (Spain),22-01-2016
6,Aptec,07-01-2016
2,GTI (Spain),19-01-2016
6,Compaq (Alt1),11-01-2016
2,"Flextronics, Manaus",10-01-2016
77,Actebis (Denmark) (Alt 2),20-01-2016
37,ExpressData,08-01-2016
13,ElCorteIngles (Spain),06-01-2016
26,Softmart,09-01-2016
7,Tech Data (Spain),12-01-2016
7,Tech Data,16-01-2016
18,Apple,12-01-2016
12,Tech Data (Canada),18-01-2016
41,Esprinet,25-01-2016
16,Mindware,21-01-2016
178,DHL China,07-01-2016
11,Also ABC (Switzerland),18-01-2016
1,FRYS XBOX,29-01-2016
60,Ingram (Sweden),11-01-2016
2,Bank Of America (Payroll),29-01-2016
7,ExpressDataNZ,29-01-2016
1,Computer Discount Warehouse(Canada),23-01-2016
208,Tech Data ENT (US),11-01-2016
85,Ingram (Netherlands),08-01-2016
24,Compucom (Channel Reporting),17-01-2016
4,Specialist Computer Centres,29-01-2016
6,Target PC,13-01-2016
1,Innelec,12-01-2016
305,D&H Distributing,19-01-2016
30,ABC Data,13-01-2016
78,Frys,07-01-2016
35,Ceva Singapore,19-01-2016
32,SYNNEXAU,15-01-2016
41,SIRAS Redmond,25-01-2016
52,En Pointe Technologies,29-01-2016
30,Office Depot,07-01-2016
10,Staples,07-01-2016
12,DICKERAU,15-01-2016
6,Carrefour (Spain) Alt 2,26-01-2016
8,Insight Singapore,11-01-2016
33,INSIGHTFR,11-01-2016
1,"Sunny Printing, Hong Kong",28-01-2016
29,"DHL, China",12-01-2016
1,Computer Discount Warehouse,31-01-2016
23,Softmart,07-01-2016
58,Ceva Singapore,21-01-2016
2,Dixons (UK),31-01-2016
372,Walmart,30-01-2016
24,NewEgg,05-01-2016
32,Ingram (Italy),19-01-2016
1,INSIGHTBE,26-01-2016
8,Toys R US (Software),12-01-2016
5,Costco US (Alt 2),09-01-2016
4,LITEON,18-01-2016
5,Ingram (Germany),09-01-2016
58,Insight Technology Solutions GmbH,08-01-2016
4,Mindware,13-01-2016
1,Tech Data (Spain),18-01-2016
2,C2000 (all European sites),01-01-2016
25,Ingram FPP (Canada),14-01-2016
6,Sarcom,19-01-2016
47,Ceva Singapore,29-01-2016
27,Softmart,15-01-2016
2,Aptec,25-01-2016
20,ARENA,04-01-2016
806,Moet 97,31-01-2016
2,G2B_Apple,18-01-2016
879,Dell,14-01-2016
29,SYNNEXAU,25-01-2016
10,Target PC,25-01-2016
6,Target PC,31-01-2016
159,Walmart,23-01-2016
10,Insight Technology Solutions GmbH,27-01-2016
1272,Bertelsmann,20-01-2016
9,ElCorteIngles (Spain),12-01-2016
1,Ingram (Spain) (Alt 2),16-01-2016
2,Ingram FPP (Canada),01-01-2016
49,Walmart (Alt 3),30-01-2016
2,"Flextronics, Manaus",31-01-2016
2,"Flextronics, Manaus",25-01-2016
1,Ingram (Sweden) (Alt 2),09-01-2016
1,Ingram (Austria) (Alt 2),30-01-2016
9,NewEgg,11-01-2016
2,Tech Data (Spain),20-01-2016
3,Tech Data (Norway),20-01-2016
15,Mindware,18-01-2016
78,Toys R US (Software),20-01-2016
2,INSIGHTBE,05-01-2016
53,Ceva Singapore,26-01-2016
1,GEM UK,19-01-2016
